Year,State,HAI,Facility_ID,Facility_Name,County,Facility_Category,Facility_Type,Infections_Reported,Infections_Predicted,Patient_Days,SIR,SIR_CI_95_Lower_Limit,SIR_CI_95_Upper_Limit,Comparison,SIR_2015,Notes
2016,California,Clostridium difficile Infection (CDI),930000085,Los Angeles Community Hospital,Los Angeles,General Acute Care Hospital,Community (125-250 Beds),5,13.66,38276,0.37,0.13,0.81,Better,0.58,"* Hospitals reported combined data, see Data Dictionary"
2016,California,Clostridium difficile Infection (CDI),930000044,Marina Del Rey Hospital,Los Angeles,General Acute Care Hospital,Community (125-250 Beds),10,11.33,12645,0.88,0.45,1.57,Same,1.71,
2016,California,Clostridium difficile Infection (CDI),060000035,Martin Luther King Jr. Community Hospital,Los Angeles,General Acute Care Hospital,Community (125-250 Beds),8,10.4,26702,0.77,0.36,1.46,Same, ,
2016,California,Clostridium difficile Infection (CDI),930000092,Memorial Hospital of Gardena,Los Angeles,General Acute Care Hospital,Community (125-250 Beds),6,10.97,24481,0.55,0.22,1.14,Same,0.81,
2016,California,Clostridium difficile Infection (CDI),930000096,Methodist Hospital of Southern California,Los Angeles,General Acute Care Hospital,Community (>250 Beds),17,29.29,64489,0.58,0.35,0.91,Better,1.19,
2016,California,Clostridium difficile Infection (CDI),930000096,"Methodist Hospital of Southern California, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,2,2.79,7028,0.72,0.12,2.37,Same,1.38,
2016,California,Clostridium difficile Infection (CDI),930000158,Miracle Mile Medical Center,Los Angeles,General Acute Care Hospital,Community (<125 Beds),0,0.11,641, , , ,, ,
2016,California,Clostridium difficile Infection (CDI),930000027,Mission Community Hospital,Los Angeles,General Acute Care Hospital,Community (<125 Beds),13,10.26,22845,1.27,0.71,2.11,Same,1.75,
2016,California,Clostridium difficile Infection (CDI),930000107,Monrovia Memorial Hospital,Los Angeles,Long-term Acute Care Hospital,LTAC,14,8.73,12143,1.6,0.91,2.63,Same,0.39,
2016,California,Clostridium difficile Infection (CDI),930000108,Monterey Park Hospital,Los Angeles,General Acute Care Hospital,Community (<125 Beds),13,5.89,20399,2.21,1.23,3.68,Worse,2.29,
2016,California,Clostridium difficile Infection (CDI),930000111,Northridge Hospital Medical Center,Los Angeles,General Acute Care Hospital,Community (>250 Beds),54,42.5,47834,1.27,0.96,1.65,Same,0.94,
2016,California,Clostridium difficile Infection (CDI),930000111,"Northridge Hospital Medical Center, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,4,2.23,4195,1.79,0.57,4.32,Same,0.9,
2016,California,Clostridium difficile Infection (CDI),930000105,Olympia Medical Center,Los Angeles,General Acute Care Hospital,Community (125-250 Beds),59,27.59,27338,2.14,1.64,2.74,Worse,1.89,
2016,California,Clostridium difficile Infection (CDI),930000052,PIH Hospital - Downey,Los Angeles,General Acute Care Hospital,Community (125-250 Beds),24,22.75,28056,1.06,0.69,1.55,Same,1.17,
2016,California,Clostridium difficile Infection (CDI),930000057,Pacific Alliance Medical Center,Los Angeles,General Acute Care Hospital,Community (125-250 Beds),13,11.23,24951,1.16,0.64,1.93,Same,1.23,
2016,California,Clostridium difficile Infection (CDI),930000133,Pacifica Hospital of the Valley,Los Angeles,General Acute Care Hospital,Community (125-250 Beds),2,6.51,21927,0.31,0.05,1.02,Same,0.29,
2016,California,Clostridium difficile Infection (CDI),930000077,Palmdale Regional Medical Center,Los Angeles,General Acute Care Hospital,Community (125-250 Beds),33,37.55,39252,0.88,0.62,1.22,Same,1.54,
2016,California,Clostridium difficile Infection (CDI),930000123,Pomona Valley Hospital Medical Center,Los Angeles,General Acute Care Hospital,Community (>250 Beds),122,69.27,76650,1.76,1.47,2.1,Worse,1.21,
2016,California,Clostridium difficile Infection (CDI),930000099,Presbyterian Intercommunity Hospital,Los Angeles,General Acute Care Hospital,Community (>250 Beds),65,36.34,55824,1.79,1.39,2.27,Worse,1.1,
2016,California,Clostridium difficile Infection (CDI),930000099,"Presbyterian Intercommunity Hospital, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,1,0.96,2421,1.04,0.03,5.79,Same,2.05,¥ See Data Dictionary
2016,California,Clostridium difficile Infection (CDI),930000003,Promise Hospital of East Los Angeles - East L.A Campus,Los Angeles,Long-term Acute Care Hospital,LTAC,6,6.19,7438,0.97,0.39,2.02,Same,0.19,
2016,California,Clostridium difficile Infection (CDI),930000033,Promise Hospital of East Los Angeles - Suburban Campus,Los Angeles,Long-term Acute Care Hospital,LTAC,23,47.49,43055,0.48,0.31,0.72,Better,0.4,
2016,California,Clostridium difficile Infection (CDI),930000066,Providence Holy Cross Medical Center,Los Angeles,General Acute Care Hospital,Community (>250 Beds),60,57.91,69314,1.04,0.8,1.32,Same,1.08,
2016,California,Clostridium difficile Infection (CDI),930000066,"Providence Holy Cross Medical Center, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,1.36,2565,0,0,2.2,Same,1.31,
2016,California,Clostridium difficile Infection (CDI),930000157,Providence Little Company of Mary Medical Center San Pedro,Los Angeles,General Acute Care Hospital,Community (>250 Beds),17,13.49,18013,1.26,0.76,1.98,Same,1.14,
2016,California,Clostridium difficile Infection (CDI),930000157,"Providence Little Company of Mary Medical Center San Pedro, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,2,2.69,5050,0.74,0.13,2.46,Same,0,
2016,California,Clostridium difficile Infection (CDI),930000081,Providence Little Company of Mary Medical Center Torrance,Los Angeles,General Acute Care Hospital,Community (>250 Beds),40,48.6,63585,0.82,0.6,1.11,Same,0.78,
2016,California,Clostridium difficile Infection (CDI),930000100,Providence Saint John's Health Center,Los Angeles,General Acute Care Hospital,Community (>250 Beds),44,28.8,55829,1.53,1.12,2.03,Worse,1.49,
2016,California,Clostridium difficile Infection (CDI),930000101,Providence Saint Joseph Medical Center,Los Angeles,General Acute Care Hospital,Community (>250 Beds),47,48.77,67881,0.96,0.72,1.27,Same,1.58,
2016,California,Clostridium difficile Infection (CDI),930000101,"Providence Saint Joseph Medical Center, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,1.43,2686,0,0,2.1,Same,0.65,
2016,California,Clostridium difficile Infection (CDI),930000091,Providence Tarzana Medical Center,Los Angeles,General Acute Care Hospital,Community (125-250 Beds),40,34.2,48199,1.17,0.85,1.58,Same,1.19,
2016,California,Clostridium difficile Infection (CDI),930000162,Ronald Reagan UCLA Medical Center,Los Angeles,General Acute Care Hospital,Major Teaching,131,111.1,146059,1.18,0.99,1.4,Same,1.24,
2016,California,Clostridium difficile Infection (CDI),930000128,Saint Francis Medical Center,Los Angeles,General Acute Care Hospital,Community (>250 Beds),38,61.19,88642,0.62,0.45,0.84,Better,0.82,
2016,California,Clostridium difficile Infection (CDI),930000104,Saint Vincent Medical Center,Los Angeles,General Acute Care Hospital,Community (>250 Beds),69,122.69,54387,0.56,0.44,0.71,Better,0.78,
2016,California,Clostridium difficile Infection (CDI),930000104,"Saint Vincent Medical Center, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,1,2.43,5627,0.41,0.02,2.03,Same,0.35,
2016,California,Clostridium difficile Infection (CDI),930000125,San Dimas Community Hospital,Los Angeles,General Acute Care Hospital,Community (<125 Beds),6,12.44,13799,0.48,0.2,1,Same,1.23,
2016,California,Clostridium difficile Infection (CDI),930000041,San Gabriel Valley Medical Center,Los Angeles,General Acute Care Hospital,Community (125-250 Beds),31,21.99,30057,1.41,0.98,1.98,Same,1.28,
2016,California,Clostridium difficile Infection (CDI),930000049,Santa Monica - UCLA Medical Center and Orthopaedic Hospital,Los Angeles,General Acute Care Hospital,Major Teaching,76,65.01,72549,1.17,0.93,1.46,Same,1.03,
2016,California,Clostridium difficile Infection (CDI),930000140,Sherman Oaks Hospital,Los Angeles,General Acute Care Hospital,Community (125-250 Beds),11,21.2,28175,0.52,0.27,0.9,Better,1.39,
2016,California,Clostridium difficile Infection (CDI),930000141,Shriners Hospitals for Children,Los Angeles,General Acute Care Hospital,Pediatric, , , , , , ,, ,"Incomplete Reporter, see Data Dictionary"
2016,California,Clostridium difficile Infection (CDI),930000035,Silver Lake Medical Center,Los Angeles,General Acute Care Hospital,Community (<125 Beds),20,7.74,16124,2.58,1.62,3.92,Worse,1.5,
2016,California,Clostridium difficile Infection (CDI),930000015,Southern California Hospital at Culver City,Los Angeles,General Acute Care Hospital,Community (>250 Beds),43,35.55,69497,1.21,0.89,1.61,Same,1.06,
2016,California,Clostridium difficile Infection (CDI),930000015,"Southern California Hospital at Culver City, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,9,1.71,4300,5.27,2.57,9.67,Worse,1.85,
2016,California,Clostridium difficile Infection (CDI),930000064,Southern California Hospital at Hollywood,Los Angeles,General Acute Care Hospital,Community (<125 Beds),6,5.37,18129,1.12,0.45,2.33,Same,1.89,
2016,California,Clostridium difficile Infection (CDI),930000103,"St. Mary Medical Center, Long Beach",Los Angeles,General Acute Care Hospital,Community (>250 Beds),29,31.02,46382,0.94,0.64,1.33,Same,0.83,
2016,California,Clostridium difficile Infection (CDI),930000103,"St. Mary Medical Center, Long Beach, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,5,2.98,5607,1.68,0.61,3.71,Same,1.02,
2016,California,Clostridium difficile Infection (CDI),930000127,Torrance Memorial Medical Center,Los Angeles,General Acute Care Hospital,Community (>250 Beds),83,61.93,92421,1.34,1.07,1.65,Worse,1.49,
2016,California,Clostridium difficile Infection (CDI),930000163,USC Kenneth Norris Jr. Cancer Hospital,Los Angeles,General Acute Care Hospital,Major Teaching,19,13.62,12570,1.4,0.87,2.14,Same,1.5,
2016,California,Clostridium difficile Infection (CDI),930000187,USC Verdugo Hills Hospital,Los Angeles,General Acute Care Hospital,Community (125-250 Beds),13,11.34,19713,1.15,0.64,1.91,Same,1.06,
2016,California,Clostridium difficile Infection (CDI),930000129,Valley Presbyterian Hospital,Los Angeles,General Acute Care Hospital,Community (>250 Beds),57,54.76,59256,1.04,0.8,1.34,Same,1.1,
2016,California,Clostridium difficile Infection (CDI),930000129,"Valley Presbyterian Hospital, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,1,1.73,3252,0.58,0.03,2.85,Same,0.98,
2016,California,Clostridium difficile Infection (CDI),930000188,West Covina Medical Center,Los Angeles,General Acute Care Hospital,Community (<125 Beds),0,0.35,2138,0,0,10.63,Same,0,¥ See Data Dictionary
2016,California,Clostridium difficile Infection (CDI),930000028,West Hills Hospital & Medical Center,Los Angeles,General Acute Care Hospital,Community (>250 Beds),40,35.32,41899,1.13,0.82,1.53,Same,1.69,
2016,California,Clostridium difficile Infection (CDI),930000191,White Memorial Medical Center,Los Angeles,General Acute Care Hospital,Major Teaching,48,51.41,76591,0.93,0.7,1.23,Same,1.15,
2016,California,Clostridium difficile Infection (CDI),930000191,"White Memorial Medical Center, Rehabilitation Unit",Los Angeles,Rehabilitation Hospital or Unit,Rehabilitation Unit,3,1.78,3341,1.69,0.43,4.59,Same,1.62,
2016,California,Clostridium difficile Infection (CDI),930000151,Whittier Hospital Medical Center,Los Angeles,General Acute Care Hospital,Community (125-250 Beds),13,21.37,30946,0.61,0.34,1.01,Same,0.89,
2016,California,Clostridium difficile Infection (CDI),040000111,Madera Community Hospital,Madera,General Acute Care Hospital,Community (<125 Beds),2,2.84,13218,0.71,0.12,2.33,Same,0.17,
2016,California,Clostridium difficile Infection (CDI),040000129,Valley Children's Hospital,Madera,General Acute Care Hospital,Pediatric,25,24.89,53496,1,0.66,1.46,Same,0.98,
2016,California,Clostridium difficile Infection (CDI),110000944,"Kaiser Foundation Hospital, San Rafael",Marin,General Acute Care Hospital,Community (<125 Beds),15,10.52,19938,1.43,0.83,2.3,Same,0.8,
2016,California,Clostridium difficile Infection (CDI),110000946,Kentfield Rehabilitation & Specialty Hospital,Marin,Long-term Acute Care Hospital,LTAC,34,20.61,20067,1.65,1.16,2.28,Worse,0.98,
2016,California,Clostridium difficile Infection (CDI),110000953,Marin General Hospital,Marin,General Acute Care Hospital,Community (125-250 Beds),40,22.16,34860,1.81,1.31,2.43,Worse,1.43,
2016,California,Clostridium difficile Infection (CDI),110000982,Novato Community Hospital,Marin,General Acute Care Hospital,Community (<125 Beds),2,2.41,6114,0.83,0.14,2.74,Same,1.28,
2016,California,Clostridium difficile Infection (CDI),040000105,John C. Fremont Healthcare District,Mariposa,Critical Access Hospital,Critical Access,0,1.15,4127,0,0,2.6,Same, ,
2016,California,Clostridium difficile Infection (CDI),110000008,Frank R. Howard Memorial Hospital,Mendocino,Critical Access Hospital,Critical Access,3,2.76,6069,1.09,0.28,2.96,Same,1.73,
2016,California,Clostridium difficile Infection (CDI),110000023,Mendocino Coast District Hospital,Mendocino,Critical Access Hospital,Critical Access,2,1.7,4352,1.18,0.2,3.88,Same,2.15,
2016,California,Clostridium difficile Infection (CDI),110000070,Ukiah Valley Medical Center,Mendocino,General Acute Care Hospital,Community (<125 Beds),2,7.12,12345,0.28,0.05,0.93,Better,1.64,
2016,California,Clostridium difficile Infection (CDI),040000110,Memorial Hospital Los Banos,Merced,General Acute Care Hospital,Community (<125 Beds),0,1.03,3924,0,0,2.91,Same,1.27,
2016,California,Clostridium difficile Infection (CDI),040000113,Mercy Medical Center,Merced,General Acute Care Hospital,Community (125-250 Beds),19,21.27,48553,0.89,0.55,1.37,Same,0.65,
2016,California,Clostridium difficile Infection (CDI),230000011,Modoc Medical Center,Modoc,Critical Access Hospital,Critical Access,0,0.18,526, , , ,, ,
2016,California,Clostridium difficile Infection (CDI),230000021,Surprise Valley Community Hospital,Modoc,Critical Access Hospital,Critical Access, , , , , , ,, ,"Incomplete Reporter, see Data Dictionary"
2016,California,Clostridium difficile Infection (CDI),240000005,Mammoth Hospital,Mono,Critical Access Hospital,Critical Access,1,0.44,1313,2.29,0.06,12.77,Same,0,¥ See Data Dictionary
2016,California,Clostridium difficile Infection (CDI),070000137,Community Hospital of The Monterey Peninsula,Monterey,General Acute Care Hospital,Community (>250 Beds),29,36.69,47964,0.79,0.54,1.12,Same,0.73,
2016,California,Clostridium difficile Infection (CDI),070000137,"Community Hospital of The Monterey Peninsula, Rehabilitation Unit",Monterey,Rehabilitation Hospital or Unit,Rehabilitation Unit,2,1.58,2962,1.27,0.21,4.19,Same,0.63,
2016,California,Clostridium difficile Infection (CDI),070000141,George L. Mee Memorial Hospital,Monterey,General Acute Care Hospital,Community (<125 Beds),2,5.41,19314,0.37,0.06,1.22,Same,0.18,
2016,California,Clostridium difficile Infection (CDI),070000145,Natividad Medical Center,Monterey,General Acute Care Hospital,Major Teaching,7,18.35,27920,0.38,0.17,0.76,Better,0.32,
2016,California,Clostridium difficile Infection (CDI),070000145,"Natividad Medical Center, Rehabilitation Unit",Monterey,Rehabilitation Hospital or Unit,Rehabilitation Unit,5,3.68,6907,1.36,0.5,3.02,Same,0.55,
2016,California,Clostridium difficile Infection (CDI),070000147,Salinas Valley Memorial Hospital,Monterey,General Acute Care Hospital,Community (>250 Beds),38,32.29,44101,1.18,0.85,1.6,Same,0.91,
2016,California,Clostridium difficile Infection (CDI),110000041,Queen of the Valley Medical Center,Napa,General Acute Care Hospital,Community (125-250 Beds),31,16.68,27697,1.86,1.29,2.61,Worse,1.7,
2016,California,Clostridium difficile Infection (CDI),110000041,"Queen of the Valley Medical Center, Rehabilitation Unit",Napa,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,1.34,2833,0,0,2.24,Same,0,
2016,California,Clostridium difficile Infection (CDI),110000058,St. Helena Hospital,Napa,General Acute Care Hospital,Community (125-250 Beds),8,6.78,18318,1.18,0.55,2.24,Same,1.81,
2016,California,Clostridium difficile Infection (CDI),230000262,Sierra Nevada Memorial Hospital,Nevada,General Acute Care Hospital,Community (<125 Beds),11,8.76,18514,1.26,0.66,2.18,Same,1.78,
2016,California,Clostridium difficile Infection (CDI),230000265,Tahoe Forest Hospital,Nevada,Critical Access Hospital,Critical Access,7,2.02,4451,3.46,1.52,6.85,Worse,1.86,
2016,California,Clostridium difficile Infection (CDI),060000002,AHMC Anaheim Regional Medical Center,Orange,General Acute Care Hospital,Community (125-250 Beds),36,37.09,44101,0.97,0.69,1.33,Same,1.41,
2016,California,Clostridium difficile Infection (CDI),060000074,Anaheim Global Medical Center,Orange,General Acute Care Hospital,Community (125-250 Beds),9,7.11,11963,1.27,0.62,2.32,Same,0.5,
2016,California,Clostridium difficile Infection (CDI),060000006,Chapman Global Medical Center,Orange,General Acute Care Hospital,Community (<125 Beds),2,3.45,7259,0.58,0.1,1.92,Same,1.47,
2016,California,Clostridium difficile Infection (CDI),060001207,Children's Hospital at Mission,Orange,General Acute Care Hospital,Pediatric,0,1.49,4194,0,0,2.01,Same,0,
2016,California,Clostridium difficile Infection (CDI),060000007,Children's Hospital of Orange County,Orange,General Acute Care Hospital,Pediatric,58,21.96,47689,2.64,2.02,3.39,Worse,1.5,
2016,California,Clostridium difficile Infection (CDI),060000008,College Hospital Costa Mesa,Orange,General Acute Care Hospital,Community (<125 Beds),0,6.82,40686,0,0,0.44,Better,0,
2016,California,Clostridium difficile Infection (CDI),170001767,Fairview Developmental Center,Orange,General Acute Care Hospital,Community (<125 Beds),0,0.09,404, , , ,, ,
2016,California,Clostridium difficile Infection (CDI),060000013,Foothill Regional Medical Center,Orange,General Acute Care Hospital,Community (<125 Beds),7,6.42,9965,1.09,0.48,2.16,Same, ,
2016,California,Clostridium difficile Infection (CDI),060000011,Fountain Valley Regional Hospital & Medical Center,Orange,General Acute Care Hospital,Community (>250 Beds),32,42.4,79762,0.76,0.53,1.05,Same,0.53,"* Hospitals reported combined data, see Data Dictionary"
2016,California,Clostridium difficile Infection (CDI),060000058,Garden Grove Hospital and Medical Center,Orange,General Acute Care Hospital,Community (125-250 Beds),14,9.77,19088,1.43,0.82,2.35,Same,1.24,
2016,California,Clostridium difficile Infection (CDI),060001674,Healthbridge Children's Hospital - Orange,Orange,General Acute Care Hospital,Pediatric, , , , , , ,,3.24,"Incomplete Reporter, see Data Dictionary"
2016,California,Clostridium difficile Infection (CDI),060001097,Healthsouth Tustin Rehabilitation Hospital,Orange,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation Hospital,12,7.3,14893,1.64,0.89,2.79,Same,0.89,
2016,California,Clostridium difficile Infection (CDI),060001022,Hoag Hospital Irvine,Orange,General Acute Care Hospital,Community (<125 Beds),25,13.91,16740,1.8,1.19,2.61,Worse,1.58,
2016,California,Clostridium difficile Infection (CDI),060000014,Hoag Memorial Hospital Presbyterian,Orange,General Acute Care Hospital,Community (>250 Beds),126,88.72,97799,1.42,1.19,1.69,Worse,1.33,
2016,California,Clostridium difficile Infection (CDI),630012891,Hoag Orthopedic Institute,Orange,General Acute Care Hospital,Community (<125 Beds),1,1.76,10868,0.57,0.03,2.81,Same,0.59,
2016,California,Clostridium difficile Infection (CDI),060000015,Huntington Beach Hospital,Orange,General Acute Care Hospital,Community (<125 Beds),13,6.88,12843,1.89,1.05,3.15,Worse,0.78,
2016,California,Clostridium difficile Infection (CDI),630013929,"Kaiser Foundation Hospital, Orange County, Anaheim",Orange,General Acute Care Hospital,Community (>250 Beds),39,38.04,54627,1.03,0.74,1.39,Same,1,
2016,California,Clostridium difficile Infection (CDI),630011745,"Kaiser Foundation Hospital, Orange County, Irvine",Orange,General Acute Care Hospital,Major Teaching,29,28.95,40758,1,0.68,1.42,Same,1.2,
2016,California,Clostridium difficile Infection (CDI),060001360,"Kindred Hospital, Brea",Orange,Long-term Acute Care Hospital,LTAC,11,11.48,14105,0.96,0.5,1.67,Same,0.73,
2016,California,Clostridium difficile Infection (CDI),930001607,"Kindred Hospital, Santa Ana",Orange,Long-term Acute Care Hospital,LTAC,30,20.16,16851,1.49,1.02,2.1,Worse,1.48,
2016,California,Clostridium difficile Infection (CDI),060000017,"Kindred Hospital, Westminster",Orange,Long-term Acute Care Hospital,LTAC,82,49.76,35244,1.65,1.32,2.04,Worse,1.51,
2016,California,Clostridium difficile Infection (CDI),060000024,La Palma Intercommunity Hospital,Orange,General Acute Care Hospital,Community (125-250 Beds),8,7,14388,1.14,0.53,2.17,Same,2.41,
2016,California,Clostridium difficile Infection (CDI),060000025,Los Alamitos Medical Center,Orange,General Acute Care Hospital,Community (125-250 Beds),37,31.08,40976,1.19,0.85,1.62,Same,1.26,
2016,California,Clostridium difficile Infection (CDI),060000066,Mission Hospital Laguna Beach,Orange,General Acute Care Hospital,Community (<125 Beds),4,4.09,11492,0.98,0.31,2.36,Same,1.85,
2016,California,Clostridium difficile Infection (CDI),060000060,Mission Hospital Regional Medical Center,Orange,General Acute Care Hospital,Community (>250 Beds),64,63.84,66814,1,0.78,1.27,Same,1.02,
2016,California,Clostridium difficile Infection (CDI),060000060,"Mission Hospital Regional Medical Center, Rehabilitation Unit",Orange,Rehabilitation Hospital or Unit,Rehabilitation Unit,2,2.54,4774,0.79,0.13,2.6,Same,0.38,
2016,California,Clostridium difficile Infection (CDI),060000208,Orange Coast Memorial Medical Center,Orange,General Acute Care Hospital,Community (125-250 Beds),29,32.32,39696,0.9,0.61,1.27,Same,0.66,
2016,California,Clostridium difficile Infection (CDI),060000073,Orange County Global Medical Center,Orange,General Acute Care Hospital,Community (>250 Beds),35,26.32,37899,1.33,0.94,1.83,Same,1.04,
2016,California,Clostridium difficile Infection (CDI),060000062,Placentia Linda Hospital,Orange,General Acute Care Hospital,Community (<125 Beds),3,5.92,16184,0.51,0.13,1.38,Same,0.47,
2016,California,Clostridium difficile Infection (CDI),060000063,Saddleback Memorial Medical Center,Orange,General Acute Care Hospital,Community (>250 Beds),34,32.41,43906,1.05,0.74,1.45,Same,1.11,
2016,California,Clostridium difficile Infection (CDI),060000021,South Coast Global Medical Center,Orange,General Acute Care Hospital,Community (125-250 Beds),3,4.25,9300,0.71,0.18,1.92,Same,0.88,
2016,California,Clostridium difficile Infection (CDI),060000067,"St. Joseph Hospital, Orange",Orange,General Acute Care Hospital,Community (>250 Beds),55,66.17,69989,0.83,0.63,1.07,Same,0.57,
2016,California,Clostridium difficile Infection (CDI),060000068,St. Jude Medical Center,Orange,General Acute Care Hospital,Community (>250 Beds),33,58.12,66822,0.57,0.4,0.79,Better,0.77,
2016,California,Clostridium difficile Infection (CDI),060000068,"St. Jude Medical Center, Rehabilitation Unit",Orange,Rehabilitation Hospital or Unit,Rehabilitation Unit,1,4.71,8860,0.21,0.01,1.05,Same,0.85,
2016,California,Clostridium difficile Infection (CDI),060000071,University of California Irvine Medical Center,Orange,General Acute Care Hospital,Major Teaching,89,81.91,98082,1.09,0.88,1.33,Same,1.66,
2016,California,Clostridium difficile Infection (CDI),060000071,"University of California Irvine Medical Center, Rehabilitation Unit",Orange,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,1.68,3164,0,0,1.78,Same,0.49,
2016,California,Clostridium difficile Infection (CDI),060000016,West Anaheim Medical Center,Orange,General Acute Care Hospital,Major Teaching,26,20.23,25018,1.29,0.86,1.86,Same,1.05,
2016,California,Clostridium difficile Infection (CDI),030001370,"Kaiser Foundation Hospital, Roseville",Placer,General Acute Care Hospital,Community (>250 Beds),39,52.87,70493,0.74,0.53,1,Same,0.63,
2016,California,Clostridium difficile Infection (CDI),030000109,Sutter Auburn Faith Hospital,Placer,General Acute Care Hospital,Community (<125 Beds),12,6.93,12107,1.73,0.94,2.94,Same,2.05,
2016,California,Clostridium difficile Infection (CDI),030000134,Sutter Roseville Hospital,Placer,General Acute Care Hospital,Community (>250 Beds),50,49.67,75360,1.01,0.76,1.32,Same,1.21,
2016,California,Clostridium difficile Infection (CDI),030000134,"Sutter Roseville Hospital, Rehabilitation Unit",Placer,Rehabilitation Hospital or Unit,Rehabilitation Unit,7,6.01,13855,1.17,0.51,2.31,Same,1.93,
2016,California,Clostridium difficile Infection (CDI),230000004,Eastern Plumas Hospital - Portola Campus,Plumas,Critical Access Hospital,Critical Access,0,0.23,1061,0,0,15.74,Same, ,¥ See Data Dictionary
2016,California,Clostridium difficile Infection (CDI),230000015,Plumas District Hospital,Plumas,Critical Access Hospital,Critical Access,0,0.51,1904,0,0,7.22,Same,0,¥ See Data Dictionary
2016,California,Clostridium difficile Infection (CDI),230000017,Seneca District Hospital,Plumas,General Acute Care Hospital,Community (<125 Beds),0,0.1,622, , , ,, ,
2016,California,Clostridium difficile Infection (CDI),250000006,Corona Regional Medical Center,Riverside,General Acute Care Hospital,Community (125-250 Beds),42,24.7,25164,1.7,1.24,2.28,Worse,1.29,"* Hospitals reported combined data, see Data Dictionary"
2016,California,Clostridium difficile Infection (CDI),250000008,Desert Regional Medical Center,Riverside,General Acute Care Hospital,Community (>250 Beds),58,62.08,86433,0.93,0.72,1.2,Same,1.2,
2016,California,Clostridium difficile Infection (CDI),250000008,"Desert Regional Medical Center, Rehabilitation Unit",Riverside,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,1.45,2906,0,0,2.06,Same,0,
2016,California,Clostridium difficile Infection (CDI),250000011,Eisenhower Medical Center,Riverside,General Acute Care Hospital,Major Teaching,66,71.84,74127,0.92,0.72,1.16,Same,0.96,
2016,California,Clostridium difficile Infection (CDI),250000011,"Eisenhower Medical Center, Rehabilitation Unit",Riverside,Rehabilitation Hospital or Unit,Rehabilitation Unit,1,2.3,4329,0.43,0.02,2.14,Same,1.62,
2016,California,Clostridium difficile Infection (CDI),250000012,Hemet Valley Medical Center,Riverside,General Acute Care Hospital,Major Teaching,22,25.08,41989,0.88,0.56,1.31,Same,1.32,
2016,California,Clostridium difficile Infection (CDI),250000017,John F. Kennedy Memorial Hospital,Riverside,General Acute Care Hospital,Community (125-250 Beds),17,12.66,19537,1.34,0.81,2.11,Same,0.62,
2016,California,Clostridium difficile Infection (CDI),630011959,"Kaiser Foundation Hospital, Moreno Valley",Riverside,General Acute Care Hospital,Community (<125 Beds),9,9.64,15042,0.93,0.46,1.71,Same,1.48,
2016,California,Clostridium difficile Infection (CDI),250000707,"Kaiser Foundation Hospital, Riverside",Riverside,General Acute Care Hospital,Major Teaching,42,32.17,46086,1.31,0.95,1.75,Same,1.28,
2016,California,Clostridium difficile Infection (CDI),250000004,"Kindred Hospital, Riverside",Riverside,Long-term Acute Care Hospital,LTAC,34,15.56,12248,2.19,1.54,3.02,Worse,0.97,
2016,California,Clostridium difficile Infection (CDI),630012971,Loma Linda University Medical Center - Murrieta,Riverside,General Acute Care Hospital,Community (<125 Beds),23,22.62,28862,1.02,0.66,1.5,Same,0.57,
2016,California,Clostridium difficile Infection (CDI),250000727,Menifee Valley Medical Center,Riverside,General Acute Care Hospital,Community (<125 Beds),4,5.52,10926,0.72,0.23,1.75,Same,2.12,
2016,California,Clostridium difficile Infection (CDI),250000042,Palo Verde Hospital,Riverside,General Acute Care Hospital,Community (<125 Beds),1,0.66,2317,1.52,0.04,8.49,Same,0.65,¥ See Data Dictionary
2016,California,Clostridium difficile Infection (CDI),250000044,Parkview Community Hospital Medical Center,Riverside,General Acute Care Hospital,Community (125-250 Beds),19,18.06,37752,1.05,0.65,1.61,Same,1.73,
2016,California,Clostridium difficile Infection (CDI),250000049,Riverside Community Hospital,Riverside,General Acute Care Hospital,Community (>250 Beds),107,77.97,98076,1.37,1.13,1.65,Worse,1.68,
2016,California,Clostridium difficile Infection (CDI),250000050,Riverside University Health System - Medical Center,Riverside,General Acute Care Hospital,Major Teaching,42,66.41,94766,0.63,0.46,0.85,Better,0.96,
