Year,State,County,HAI,Facility_ID,Facility_Name,Hospital_Category_RiskAdjustment,Facility_Type,Infections_Reported,Infections_Predicted,Patient_Days
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000041,San Gabriel Valley Medical Center,Acute Care Hospital,"Community, 125-250 Beds",4,9.34,15607
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000049,Santa Monica - UCLA Medical Center and Orthopaedic Hospital,Acute Care Hospital,Major Teaching,22,23.56,34112
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000140,Sherman Oaks Hospital,Acute Care Hospital,"Community, 125-250 Beds",,,
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000015,Southern California Hospital at Culver City,Acute Care Hospital,"Community, >250 Beds",2,8.55,20452
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000015,Southern California Hospital at Culver City,Rehabilitation Hospital or Unit,Rehabilitation Unit,1,1.12,2398
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000064,Southern California Hospital at Hollywood,Acute Care Hospital,"Community, <125 Beds",2,1.88,6512
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000128,St. Francis Medical Center,Acute Care Hospital,"Community, >250 Beds",8,26.1,43897
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000103,"St. Mary Medical Center, Long Beach",Acute Care Hospital,"Community, >250 Beds",4,13.14,26992
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000103,"St. Mary Medical Center, Long Beach",Rehabilitation Hospital or Unit,Rehabilitation Unit,1,0.82,2120
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000127,Torrance Memorial Medical Center,Acute Care Hospital,"Community, >250 Beds",9,26.72,44360
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000163,USC Kenneth Norris Jr. Cancer Hospital,Acute Care Hospital,Major Teaching,7,4.99,6140
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000187,USC Verdugo Hills Hospital,Acute Care Hospital,Major Teaching,1,6.22,10356
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000129,Valley Presbyterian Hospital,Acute Care Hospital,"Community, >250 Beds",8,18.04,28290
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000129,Valley Presbyterian Hospital,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.86,1625
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000188,West Covina Medical Center,Acute Care Hospital,"Community, <125 Beds",1,0.16,586
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000028,West Hills Hospital & Medical Center,Acute Care Hospital,"Community, >250 Beds",9,10.38,21557
2020H1,California,Los Angeles,Clostridioides difficile Infection (CDI),930000151,Whittier Hospital Medical Center,Acute Care Hospital,"Community, 125-250 Beds",,,
2020H1,California,Madera,Clostridioides difficile Infection (CDI),040000111,Madera Community Hospital,Acute Care Hospital,"Community, <125 Beds",2,2.64,6549
2020H1,California,Madera,Clostridioides difficile Infection (CDI),040000129,Valley Children's Hospital,Acute Care Hospital,Pediatric,12,7.17,20741
2020H1,California,Marin,Clostridioides difficile Infection (CDI),110000944,"Kaiser Foundation Hospital, San Rafael",Acute Care Hospital,"Community, <125 Beds",2,5.19,9175
2020H1,California,Marin,Clostridioides difficile Infection (CDI),110000946,Kentfield Hospital,Long-Term Acute Care Hospital,Long-Term Acute Care,1,8.25,8410
2020H1,California,Marin,Clostridioides difficile Infection (CDI),110000953,MarinHealth Medical Center,Acute Care Hospital,"Community, 125-250 Beds",4,8.44,14273
2020H1,California,Marin,Clostridioides difficile Infection (CDI),110000982,Novato Community Hospital,Acute Care Hospital,"Community, <125 Beds",0,1.55,3035
2020H1,California,Mariposa,Clostridioides difficile Infection (CDI),040000105,John C. Fremont Healthcare District,Critical Access Hospital,Critical Access,0,0.43,1942
2020H1,California,Mendocino,Clostridioides difficile Infection (CDI),110000008,Adventist Health Howard Memorial,Critical Access Hospital,Critical Access,,,
2020H1,California,Mendocino,Clostridioides difficile Infection (CDI),110000023,Adventist Health Mendocino Coast,Critical Access Hospital,Critical Access,0,0.46,2068
2020H1,California,Mendocino,Clostridioides difficile Infection (CDI),110000070,Adventist Health Ukiah Valley,Acute Care Hospital,"Community, <125 Beds",,,
2020H1,California,Merced,Clostridioides difficile Infection (CDI),040000110,Memorial Hospital Los Banos,Acute Care Hospital,"Community, <125 Beds",0,0.72,2410
2020H1,California,Merced,Clostridioides difficile Infection (CDI),040000113,Mercy Medical Center,Acute Care Hospital,"Community, 125-250 Beds",4,10.62,18743
2020H1,California,Modoc,Clostridioides difficile Infection (CDI),230000011,Modoc Medical Center,Critical Access Hospital,Critical Access,0,0.13,575
2020H1,California,Modoc,Clostridioides difficile Infection (CDI),230000021,Surprise Valley Community Hospital,Critical Access Hospital,Critical Access,,,
2020H1,California,Mono,Clostridioides difficile Infection (CDI),240000005,Mammoth Hospital,Critical Access Hospital,Critical Access,1,0.37,816
2020H1,California,Monterey,Clostridioides difficile Infection (CDI),070000137,Community Hospital of The Monterey Peninsula,Acute Care Hospital,"Community, >250 Beds",7,19.22,25161
2020H1,California,Monterey,Clostridioides difficile Infection (CDI),070000137,Community Hospital of The Monterey Peninsula,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.85,1653
2020H1,California,Monterey,Clostridioides difficile Infection (CDI),070000141,George L. Mee Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.26,796
2020H1,California,Monterey,Clostridioides difficile Infection (CDI),070000145,Natividad Medical Center,Acute Care Hospital,Major Teaching,3,9.22,13877
2020H1,California,Monterey,Clostridioides difficile Infection (CDI),070000145,Natividad Medical Center,Rehabilitation Hospital or Unit,Rehabilitation Unit,1,2.63,4188
2020H1,California,Monterey,Clostridioides difficile Infection (CDI),070000147,Salinas Valley Memorial Hospital,Acute Care Hospital,"Community, >250 Beds",8,11.31,19825
2020H1,California,Napa,Clostridioides difficile Infection (CDI),110000058,Adventist Health St. Helena,Acute Care Hospital,"Community, <125 Beds",,,
2020H1,California,Napa,Clostridioides difficile Infection (CDI),110000041,Providence Queen of the Valley Medical Center,Acute Care Hospital,"Community, 125-250 Beds",2,4.3,10673
2020H1,California,Napa,Clostridioides difficile Infection (CDI),110000041,Providence Queen of the Valley Medical Center,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.57,1489
2020H1,California,Nevada,Clostridioides difficile Infection (CDI),230000262,Sierra Nevada Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",1,3.95,7953
2020H1,California,Nevada,Clostridioides difficile Infection (CDI),230000265,Tahoe Forest Hospital,Critical Access Hospital,Critical Access,0,1.37,3012
2020H1,California,Orange,Clostridioides difficile Infection (CDI),060000002,AHMC Anaheim Regional Medical Center,Acute Care Hospital,"Community, 125-250 Beds",2,10.17,16348
2020H1,California,Orange,Clostridioides difficile Infection (CDI),060000074,Anaheim Global Medical Center,Acute Care Hospital,"Community, 125-250 Beds",0,0.46,1178
2020H1,California,Orange,Clostridioides difficile Infection (CDI),060000006,Chapman Global Medical Center,Acute Care Hospital,"Community, <125 Beds",1,1.3,3245
2020H1,California,Orange,Clostridioides difficile Infection (CDI),060000007,Children's Hospital of Orange County,Acute Care Hospital,Pediatric,5,10.4,23767
2020H1,California,Orange,Clostridioides difficile Infection (CDI),060000008,College Hospital Costa Mesa,Acute Care Hospital,"Community, 125-250 Beds",0,4.73,21087
2020H1,California,Orange,Clostridioides difficile Infection (CDI),060001097,Encompass Health Rehabilitation Hospital of Tustin,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,2,2.49,6005
2020H1,California,Orange,Clostridioides difficile Infection (CDI),060000013,Foothill Regional Medical Center,Acute Care Hospital,"Community, <125 Beds",,,
2020H1,California,Orange,Clostridioides difficile Infection (CDI),060000011,Fountain Valley Regional Hospital and Medical Center,Acute Care Hospital,"Community, >250 Beds",11,16.72,36024
2020H1,California,Orange,Clostridioides difficile Infection (CDI),060000058,Garden Grove Hospital and Medical Center,Acute Care Hospital,"Community, 125-250 Beds",1,4.37,8442
2020H1,California,Orange,Clostridioides difficile Infection (CDI),060001674,"Healthbridge Children's Hospital, Orange",Acute Care Hospital,Pediatric,0,0.07,583
2020H1,California,Orange,Clostridioides difficile Infection (CDI),060001022,Hoag Hospital Irvine,Acute Care Hospital,"Community, <125 Beds",2,3.44,8681
2020H1,California,Orange,Clostridioides difficile Infection (CDI),060000014,Hoag Memorial Hospital Presbyterian,Acute Care Hospital,"Community, >250 Beds",6,22.77,46095
2020H1,California,Orange,Clostridioides difficile Infection (CDI),060000014,Hoag Memorial Hospital Presbyterian,Rehabilitation Hospital or Unit,Rehabilitation Unit,1,1.42,3019
2020H1,California,Orange,Clostridioides difficile Infection (CDI),630012891,Hoag Orthopedic Institute,Acute Care Hospital,"Community, <125 Beds",0,0.29,2501
2020H1,California,Orange,Clostridioides difficile Infection (CDI),060000015,Huntington Beach Hospital,Acute Care Hospital,"Community, <125 Beds",1,2.98,5030
2020H1,California,Orange,Clostridioides difficile Infection (CDI),630013929,"Kaiser Foundation Hospital, Orange County, Anaheim",Acute Care Hospital,Major Teaching,5,16.87,24405
2020H1,California,Orange,Clostridioides difficile Infection (CDI),630011745,"Kaiser Foundation Hospital, Orange County, Irvine",Acute Care Hospital,Major Teaching,9,11.53,18412
2020H1,California,Orange,Clostridioides difficile Infection (CDI),060001360,"Kindred Hospital, Brea",Long-Term Acute Care Hospital,Long-Term Acute Care,3,8.13,7055
2020H1,California,Orange,Clostridioides difficile Infection (CDI),930001607,"Kindred Hospital, Santa Ana",Long-Term Acute Care Hospital,Long-Term Acute Care,3,7.68,6660
2020H1,California,Orange,Clostridioides difficile Infection (CDI),060000017,"Kindred Hospital, Westminster",Long-Term Acute Care Hospital,Long-Term Acute Care,16,21.44,15236
2020H1,California,Orange,Clostridioides difficile Infection (CDI),060000024,La Palma Intercommunity Hospital,Acute Care Hospital,"Community, 125-250 Beds",2,2.13,4533
2020H1,California,Orange,Clostridioides difficile Infection (CDI),060000025,Los Alamitos Medical Center,Acute Care Hospital,"Community, 125-250 Beds",6,8.04,20878
2020H1,California,Orange,Clostridioides difficile Infection (CDI),060000208,MemorialCare Orange Coast Medical Center,Acute Care Hospital,"Community, 125-250 Beds",2,9.69,21578
2020H1,California,Orange,Clostridioides difficile Infection (CDI),060000063,MemorialCare Saddleback Medical Center,Acute Care Hospital,"Community, 125-250 Beds",4,10.45,18925
2020H1,California,Orange,Clostridioides difficile Infection (CDI),060000073,Orange County Global Medical Center,Acute Care Hospital,"Community, >250 Beds",4,10.55,18214
2020H1,California,Orange,Clostridioides difficile Infection (CDI),060000062,Placentia Linda Hospital,Acute Care Hospital,"Community, <125 Beds",3,4.76,7640
2020H1,California,Orange,Clostridioides difficile Infection (CDI),060000060,Providence Mission Hospital,Acute Care Hospital,"Community, >250 Beds",7,12.8,29202
2020H1,California,Orange,Clostridioides difficile Infection (CDI),060000060,Providence Mission Hospital,Rehabilitation Hospital or Unit,Rehabilitation Unit,1,1.18,2515
2020H1,California,Orange,Clostridioides difficile Infection (CDI),060001207,Children's Hospital at Mission,Acute Care Hospital,Pediatric,0,0.6,2338
2020H1,California,Orange,Clostridioides difficile Infection (CDI),060000066,Providence Mission Hospital - Laguna Beach,Acute Care Hospital,"Community, <125 Beds",1,1.21,5176
2020H1,California,Orange,Clostridioides difficile Infection (CDI),060000067,"Providence St. Joseph Hospital, Orange",Acute Care Hospital,"Community, >250 Beds",9,15.55,32989
2020H1,California,Orange,Clostridioides difficile Infection (CDI),060000068,Providence St. Jude Medical Center,Acute Care Hospital,"Community, >250 Beds",5,45.17,33725
2020H1,California,Orange,Clostridioides difficile Infection (CDI),060000068,Providence St. Jude Medical Center,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,1.47,2840
2020H1,California,Orange,Clostridioides difficile Infection (CDI),060000021,South Coast Global Medical Center,Acute Care Hospital,"Community, 125-250 Beds",0,0.97,3194
2020H1,California,Orange,Clostridioides difficile Infection (CDI),060000071,University of California Irvine Medical Center,Acute Care Hospital,Major Teaching,11,22.7,47786
2020H1,California,Orange,Clostridioides difficile Infection (CDI),060000071,University of California Irvine Medical Center,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.74,1568
2020H1,California,Orange,Clostridioides difficile Infection (CDI),060000016,West Anaheim Medical Center,Acute Care Hospital,"Community, <125 Beds",9,8.57,12158
2020H1,California,Placer,Clostridioides difficile Infection (CDI),030001370,"Kaiser Foundation Hospital, Roseville",Acute Care Hospital,Major Teaching,15,29.83,43090
2020H1,California,Placer,Clostridioides difficile Infection (CDI),030000109,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",3,3.17,6054
2020H1,California,Placer,Clostridioides difficile Infection (CDI),030000134,Sutter Roseville Medical Center,Acute Care Hospital,"Community, >250 Beds",10,25.53,38442
2020H1,California,Placer,Clostridioides difficile Infection (CDI),030000134,Sutter Roseville Medical Center,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,2.75,6529
2020H1,California,Plumas,Clostridioides difficile Infection (CDI),230000004,"Eastern Plumas Hospital, Portola Campus",Critical Access Hospital,Critical Access,0,0.1,468
2020H1,California,Plumas,Clostridioides difficile Infection (CDI),230000015,Plumas District Hospital,Critical Access Hospital,Critical Access,0,0.17,763
2020H1,California,Plumas,Clostridioides difficile Infection (CDI),230000017,Seneca District Hospital,Critical Access Hospital,Critical Access,0,0.05,215
2020H1,California,Riverside,Clostridioides difficile Infection (CDI),250000006,Corona Regional Medical Center,Acute Care Hospital,"Community, 125-250 Beds",1,7.2,15396
2020H1,California,Riverside,Clostridioides difficile Infection (CDI),250000008,Desert Regional Medical Center,Acute Care Hospital,Major Teaching,17,25.07,35561
2020H1,California,Riverside,Clostridioides difficile Infection (CDI),250000008,Desert Regional Medical Center,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.3,721
2020H1,California,Riverside,Clostridioides difficile Infection (CDI),250000044,Doctors Hospital of Riverside,Acute Care Hospital,"Community, 125-250 Beds",0,6.57,15838
2020H1,California,Riverside,Clostridioides difficile Infection (CDI),250000011,Eisenhower Medical Center,Acute Care Hospital,Major Teaching,6,15.77,33219
2020H1,California,Riverside,Clostridioides difficile Infection (CDI),630019237,Encompass Health Rehabilitation Hospital of Murrieta,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,0,0.45,1102
2020H1,California,Riverside,Clostridioides difficile Infection (CDI),250000012,Hemet Global Medical Center,Acute Care Hospital,Major Teaching,10,0,0
2020H1,California,Riverside,Clostridioides difficile Infection (CDI),250000017,John F. Kennedy Memorial Hospital,Acute Care Hospital,"Community, 125-250 Beds",4,6.56,10672
2020H1,California,Riverside,Clostridioides difficile Infection (CDI),630011959,"Kaiser Foundation Hospital, Moreno Valley",Acute Care Hospital,Major Teaching,2,4.79,8272
2020H1,California,Riverside,Clostridioides difficile Infection (CDI),250000707,"Kaiser Foundation Hospital, Riverside",Acute Care Hospital,Major Teaching,2,11.94,20482
2020H1,California,Riverside,Clostridioides difficile Infection (CDI),250000004,"Kindred Hospital, Riverside",Long-Term Acute Care Hospital,Long-Term Acute Care,10,7.77,6740
2020H1,California,Riverside,Clostridioides difficile Infection (CDI),630012971,"Loma Linda University Medical Center, Murrieta",Acute Care Hospital,"Community, 125-250 Beds",5,9.75,16208
2020H1,California,Riverside,Clostridioides difficile Infection (CDI),250000727,Menifee Global Medical Center,Acute Care Hospital,"Community, <125 Beds",,,
2020H1,California,Riverside,Clostridioides difficile Infection (CDI),250000042,Palo Verde Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.23,928
2020H1,California,Riverside,Clostridioides difficile Infection (CDI),250000049,Riverside Community Hospital,Acute Care Hospital,Major Teaching,8,25.87,54827
2020H1,California,Riverside,Clostridioides difficile Infection (CDI),250000050,Riverside University Health System - Medical Center,Acute Care Hospital,Major Teaching,11,25.79,36523
2020H1,California,Riverside,Clostridioides difficile Infection (CDI),250000101,San Gorgonio Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",0,1.75,5346
2020H1,California,Riverside,Clostridioides difficile Infection (CDI),250000507,"Southwest Healthcare System, Murrieta",Acute Care Hospital,"Community, <125 Beds",2,3.86,10961
2020H1,California,Riverside,Clostridioides difficile Infection (CDI),250000344,"Southwest Healthcare System, Wildomar",Acute Care Hospital,"Community, <125 Beds",6,6.75,15948
2020H1,California,Riverside,Clostridioides difficile Infection (CDI),630014442,Temecula Valley Hospital,Acute Care Hospital,"Community, 125-250 Beds",7,11.57,18046
2020H1,California,Riverside,Clostridioides difficile Infection (CDI),630017654,Vibra Rehabilitation Hospital of Rancho Mirage,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,0,1.18,4534
2020H1,California,Sacramento,Clostridioides difficile Infection (CDI),030000130,"Kaiser Foundation Hospital, Sacramento",Acute Care Hospital,"Community, >250 Beds",8,15.75,25323
2020H1,California,Sacramento,Clostridioides difficile Infection (CDI),030000133,"Kaiser Foundation Hospital, South Sacramento",Acute Care Hospital,Major Teaching,6,16.79,27851
2020H1,California,Sacramento,Clostridioides difficile Infection (CDI),030000124,Mercy General Hospital,Acute Care Hospital,Major Teaching,9,14.92,23584
2020H1,California,Sacramento,Clostridioides difficile Infection (CDI),030000124,Mercy General Hospital,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,1.29,2495
2020H1,California,Sacramento,Clostridioides difficile Infection (CDI),030000901,Mercy Hospital of Folsom,Acute Care Hospital,"Community, <125 Beds",2,5.01,10736
2020H1,California,Sacramento,Clostridioides difficile Infection (CDI),030000127,Mercy San Juan Medical Center,Acute Care Hospital,Major Teaching,7,21.89,36614
2020H1,California,Sacramento,Clostridioides difficile Infection (CDI),030000037,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",1,8.36,13743
2020H1,California,Sacramento,Clostridioides difficile Infection (CDI),030001506,Shriners Hospitals for Children Northern California,Acute Care Hospital,Pediatric,0,0.79,3289
2020H1,California,Sacramento,Clostridioides difficile Infection (CDI),030000151,"Sutter Medical Center, Sacramento",Acute Care Hospital,Major Teaching,11,37.63,55767
2020H1,California,Sacramento,Clostridioides difficile Infection (CDI),030000113,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,35,44.87,88476
2020H1,California,Sacramento,Clostridioides difficile Infection (CDI),030000113,University of California Davis Medical Center,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,1.1,2337
2020H1,California,Sacramento,Clostridioides difficile Infection (CDI),030000907,Vibra Hospital of Sacramento,Long-Term Acute Care Hospital,Long-Term Acute Care,3,10.29,8930
2020H1,California,San Benito,Clostridioides difficile Infection (CDI),070000142,Hazel Hawkins Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",1,0.51,1880
2020H1,California,San Bernardino,Clostridioides difficile Infection (CDI),240000100,Arrowhead Regional Medical Center,Acute Care Hospital,"Community, >250 Beds",3,19.56,43087
2020H1,California,San Bernardino,Clostridioides difficile Infection (CDI),240001218,Ballard Rehabilitation Hospital,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,2,2.22,7033
2020H1,California,San Bernardino,Clostridioides difficile Infection (CDI),240000001,Barstow Community Hospital,Acute Care Hospital,"Community, <125 Beds",1,0.72,2736
2020H1,California,San Bernardino,Clostridioides difficile Infection (CDI),240000002,Bear Valley Community Hospital,Critical Access Hospital,Critical Access,0,0.06,268
2020H1,California,San Bernardino,Clostridioides difficile Infection (CDI),240000003,Chino Valley Medical Center,Acute Care Hospital,"Community, <125 Beds",1,2.48,3694
2020H1,California,San Bernardino,Clostridioides difficile Infection (CDI),240000034,Colorado River Medical Center,Critical Access Hospital,Critical Access,0,0.13,578
2020H1,California,San Bernardino,Clostridioides difficile Infection (CDI),240000082,Community Hospital of San Bernardino,Acute Care Hospital,"Community, >250 Beds",3,7.02,9816
2020H1,California,San Bernardino,Clostridioides difficile Infection (CDI),240001330,Desert Valley Hospital,Acute Care Hospital,"Community, 125-250 Beds",5,12.31,19526
2020H1,California,San Bernardino,Clostridioides difficile Infection (CDI),240000014,Hi-Desert Medical Center,Acute Care Hospital,"Community, <125 Beds",1,0.48,2310
2020H1,California,San Bernardino,Clostridioides difficile Infection (CDI),240000024,"Kaiser Foundation Hospital, Fontana",Acute Care Hospital,Major Teaching,28,26.74,38469
2020H1,California,San Bernardino,Clostridioides difficile Infection (CDI),630013398,"Kaiser Foundation Hospital, Ontario",Acute Care Hospital,Major Teaching,5,17.82,20259
2020H1,California,San Bernardino,Clostridioides difficile Infection (CDI),240000040,"Kindred Hospital, Ontario",Long-Term Acute Care Hospital,Long-Term Acute Care,4,11.53,13668
2020H1,California,San Bernardino,Clostridioides difficile Infection (CDI),240001515,"Kindred Hospital, Rancho",Long-Term Acute Care Hospital,Long-Term Acute Care,4,14.87,8927
2020H1,California,San Bernardino,Clostridioides difficile Infection (CDI),630015551,Loma Linda University Children's Hospital,Acute Care Hospital,Major Teaching,8,14.44,26222
2020H1,California,San Bernardino,Clostridioides difficile Infection (CDI),240000027,Loma Linda University Medical Center,Acute Care Hospital,Major Teaching,22,37.97,49212
2020H1,California,San Bernardino,Clostridioides difficile Infection (CDI),240000025,Loma Linda University Medical Center East Campus Hospital,Acute Care Hospital,Major Teaching,5,3.07,7729
2020H1,California,San Bernardino,Clostridioides difficile Infection (CDI),240000025,Loma Linda University Medical Center East Campus Hospital,Rehabilitation Hospital or Unit,Rehabilitation Unit,1,4.33,6892
2020H1,California,San Bernardino,Clostridioides difficile Infection (CDI),630012294,Loma Linda University Surgical Hospital,Acute Care Hospital,Major Teaching,0,0.42,1862
2020H1,California,San Bernardino,Clostridioides difficile Infection (CDI),240000009,Montclair Hospital Medical Center,Acute Care Hospital,"Community, <125 Beds",,,
2020H1,California,San Bernardino,Clostridioides difficile Infection (CDI),240000052,Mountains Community Hospital,Critical Access Hospital,Critical Access,0,0.09,405
2020H1,California,San Bernardino,Clostridioides difficile Infection (CDI),240000104,"Providence St. Mary Medical Center, Apple Valley",Acute Care Hospital,Major Teaching,4,18.2,26397
2020H1,California,San Bernardino,Clostridioides difficile Infection (CDI),240000046,Redlands Community Hospital,Acute Care Hospital,"Community, 125-250 Beds",3,7.67,19552
2020H1,California,San Bernardino,Clostridioides difficile Infection (CDI),240000053,San Antonio Regional Hospital,Acute Care Hospital,"Community, >250 Beds",4,21.4,33487
2020H1,California,San Bernardino,Clostridioides difficile Infection (CDI),240000103,St. Bernardine Medical Center,Acute Care Hospital,Major Teaching,5,15.34,32233
2020H1,California,San Bernardino,Clostridioides difficile Infection (CDI),630012380,Totally Kids Rehabilitation Hospital,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,0,0.41,1099
2020H1,California,San Bernardino,Clostridioides difficile Infection (CDI),240000054,Victor Valley Global Medical Center,Acute Care Hospital,"Community, <125 Beds",0,5.92,12739
2020H1,California,San Diego,Clostridioides difficile Infection (CDI),090000013,Alvarado Hospital Medical Center,Acute Care Hospital,"Community, <125 Beds",10,5.8,10327
2020H1,California,San Diego,Clostridioides difficile Infection (CDI),080000045,Grossmont Hospital,Acute Care Hospital,Major Teaching,21,28.4,54059
2020H1,California,San Diego,Clostridioides difficile Infection (CDI),080000045,Grossmont Hospital,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.69,1789
2020H1,California,San Diego,Clostridioides difficile Infection (CDI),630017096,"Kaiser Foundation Hospital, San Diego",Acute Care Hospital,Major Teaching,10,14.37,23296
2020H1,California,San Diego,Clostridioides difficile Infection (CDI),080000144,"Kaiser Foundation Hospital, Zion",Acute Care Hospital,Major Teaching,13,13.31,19245
2020H1,California,San Diego,Clostridioides difficile Infection (CDI),090000048,"Kindred Hospital, San Diego",Long-Term Acute Care Hospital,Long-Term Acute Care,3,12.39,8772
2020H1,California,San Diego,Clostridioides difficile Infection (CDI),080000142,Palomar Health Downtown Campus,Acute Care Hospital,"Community, <125 Beds",0,0,0
2020H1,California,San Diego,Clostridioides difficile Infection (CDI),080000142,Palomar Health Downtown Campus,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.55,1699
2020H1,California,San Diego,Clostridioides difficile Infection (CDI),630013873,Palomar Medical Center,Acute Care Hospital,"Community, >250 Beds",7,16.73,38459
2020H1,California,San Diego,Clostridioides difficile Infection (CDI),080000147,Palomar Medical Center Poway,Acute Care Hospital,"Community, <125 Beds",3,3.98,9110
2020H1,California,San Diego,Clostridioides difficile Infection (CDI),080000147,Palomar Medical Center Poway,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.27,819
2020H1,California,San Diego,Clostridioides difficile Infection (CDI),090000145,Paradise Valley Hospital,Acute Care Hospital,"Community, >250 Beds",0,3.81,10323
2020H1,California,San Diego,Clostridioides difficile Infection (CDI),090000145,Paradise Valley Hospital,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.48,1239
2020H1,California,San Diego,Clostridioides difficile Infection (CDI),080000023,"Rady Children's Hospital, San Diego",Acute Care Hospital,Pediatric,3,8.4,27908
2020H1,California,San Diego,Clostridioides difficile Infection (CDI),080000022,Scripps Green Hospital,Acute Care Hospital,"Community, 125-250 Beds",7,8.04,14982
2020H1,California,San Diego,Clostridioides difficile Infection (CDI),080000150,"Scripps Memorial Hospital, Encinitas",Acute Care Hospital,"Community, 125-250 Beds",2,12.54,23692
2020H1,California,San Diego,Clostridioides difficile Infection (CDI),080000149,"Scripps Memorial Hospital, La Jolla",Acute Care Hospital,"Community, >250 Beds",10,29.82,41856
2020H1,California,San Diego,Clostridioides difficile Infection (CDI),090000025,Scripps Mercy Hospital,Acute Care Hospital,Major Teaching,5,27.24,42832
2020H1,California,San Diego,Clostridioides difficile Infection (CDI),090000016,Scripps Mercy Hospital Chula Vista,Acute Care Hospital,"Community, 125-250 Beds",4,10.79,19315
2020H1,California,San Diego,Clostridioides difficile Infection (CDI),090000977,Select Specialty Hospital - San Diego,Long-Term Acute Care Hospital,Long-Term Acute Care,1,18.24,13118
2020H1,California,San Diego,Clostridioides difficile Infection (CDI),090000021,Sharp Chula Vista Medical Center,Acute Care Hospital,"Community, >250 Beds",8,19.69,34825
2020H1,California,San Diego,Clostridioides difficile Infection (CDI),090000033,Sharp Coronado Hospital and Healthcare Center,Acute Care Hospital,Major Teaching,2,2.14,3594
2020H1,California,San Diego,Clostridioides difficile Infection (CDI),080001470,Sharp Mary Birch Hospital For Women And Newborns,Acute Care Hospital,Major Teaching,0,4.14,16042
2020H1,California,San Diego,Clostridioides difficile Infection (CDI),080000036,Sharp Memorial Hospital,Acute Care Hospital,Major Teaching,25,27.34,47284
2020H1,California,San Diego,Clostridioides difficile Infection (CDI),080000036,Sharp Memorial Hospital,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,1.53,3965
2020H1,California,San Diego,Clostridioides difficile Infection (CDI),080000152,Tri-City Medical Center,Acute Care Hospital,"Community, >250 Beds",24,17.05,25713
2020H1,California,San Diego,Clostridioides difficile Infection (CDI),080000152,Tri-City Medical Center,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.49,1162
2020H1,California,San Diego,Clostridioides difficile Infection (CDI),090000154,UC San Diego Health Hillcrest,Acute Care Hospital,Major Teaching,11,32.63,33989
2020H1,California,San Diego,Clostridioides difficile Infection (CDI),090001116,UC San Diego Health La Jolla,Acute Care Hospital,Major Teaching,34,48.38,59595
2020H1,California,San Francisco,Clostridioides difficile Infection (CDI),220000023,"California Pacific Medical Center, Davies Campus Hospital",Acute Care Hospital,Major Teaching,7,4.25,7603
2020H1,California,San Francisco,Clostridioides difficile Infection (CDI),220000023,"California Pacific Medical Center, Davies Campus Hospital",Rehabilitation Hospital or Unit,Rehabilitation Unit,1,2.17,4211
